From_Date,To_date
19-10-2020,18-10-2021
19-10-2019,18-10-2020
19-10-2018,18-10-2019
19-10-2017,18-10-2018
19-10-2016,18-10-2017
19-10-2015,18-10-2016
19-10-2014,18-10-2015
19-10-2013,18-10-2014
19-10-2012,18-10-2013
19-10-2011,18-10-2012
19-10-2010,18-10-2011
19-10-2009,18-10-2010
19-10-2008,18-10-2009
19-10-2007,18-10-2008
19-10-2006,18-10-2007
19-10-2005,18-10-2006
19-10-2004,18-10-2005
19-10-2003,18-10-2004
19-10-2002,18-10-2003
19-10-2001,18-10-2002
19-10-2000,18-10-2001
19-10-1999,18-10-2000
19-10-1998,18-10-1999
19-10-1997,18-10-1998
19-10-1996,18-10-1997
19-10-1995,18-10-1996
19-10-1994,18-10-1995
19-10-1993,18-10-1994
19-10-1992,18-10-1993
19-10-1991,18-10-1992
19-10-1990,18-10-1991
19-10-1989,18-10-1990
19-10-1988,18-10-1989
19-10-1987,18-10-1988
19-10-1986,18-10-1987
19-10-1985,18-10-1986
19-10-1984,18-10-1985
19-10-1983,18-10-1984
19-10-1982,18-10-1983
19-10-1981,18-10-1982
19-10-1980,18-10-1981
19-10-1979,18-10-1980
19-10-1978,18-10-1979
19-10-1977,18-10-1978
19-10-1976,18-10-1977
19-10-1975,18-10-1976
19-10-1974,18-10-1975
19-10-1973,18-10-1974
19-10-1972,18-10-1973
19-10-1971,18-10-1972
19-10-1970,18-10-1971
19-10-1969,18-10-1970
19-10-1968,18-10-1969
19-10-1967,18-10-1968
19-10-1966,18-10-1967
19-10-1965,18-10-1966
19-10-1964,18-10-1965
19-10-1963,18-10-1964
19-10-1962,18-10-1963
19-10-1961,18-10-1962
19-10-1960,18-10-1961
19-10-1959,18-10-1960
19-10-1958,18-10-1959
19-10-1957,18-10-1958
19-10-1956,18-10-1957
19-10-1955,18-10-1956
19-10-1954,18-10-1955
19-10-1953,18-10-1954
19-10-1952,18-10-1953
19-10-1951,18-10-1952
19-10-1950,18-10-1951
01-01-1950,18-10-1950
